timestamp,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Global radiation,Precipitation Total
20200207T1600,25.329214,53.61702,360.44998,217.5499,142.90009,503.35007,0
20200207T1700,23.709213,53.61702,364.9,214.07996,150.82004,515.72004,0
20200207T1800,21.659214,60,113.92,61.94321,51.976788,165.896788,0
20200207T1900,20.449213,12.884752,1.78,0.47535944,1.3046405,3.0846405,0
20200207T2000,19.709213,0,0,0,0,0,0
20200207T2100,19.759212,0,0,0,0,0,0
20200207T2200,19.509212,0,0,0,0,0,0
20200207T2300,18.909214,0,0,0,0,0,0
20200208T0000,18.429214,0,0,0,0,0,0
20200208T0100,17.979214,0,0,0,0,0,0
20200208T0200,17.599213,0,0,0,0,0,0
20200208T0300,17.389214,0,0,0,0,0,0
20200208T0400,17.169214,0,0,0,0,0,0
20200208T0500,17.079214,0,0,0,0,0,0
20200208T0600,16.989214,0,0,0,0,0,0
20200208T0700,18.099213,0,24.92,15.339935,9.580065,34.500065,0
20200208T0800,19.219213,0,154.86,136.0818,18.778196,173.638196,0
20200208T0900,20.349215,0,184.23,42.98799,141.242,325.472,0
20200208T1000,22.639214,53.61702,382.69998,187.78139,194.9186,577.61858,0
20200208T1100,24.179214,53.61702,777.86,538.05176,239.8082,1017.6682,0
20200208T1200,25.039213,53.61702,854.39996,609.9964,244.40358,1098.80354,0
20200208T1300,23.929214,53.61702,469.03,144.51236,324.51764,793.54764,0
20200208T1400,24.119213,53.61702,362.22998,57.970825,304.25916,666.48914,0
20200208T1500,24.159214,53.61702,317.72998,62.580643,255.14934,572.87932,0
20200208T1600,23.949213,53.61702,301.71,126.54428,175.16571,476.87571,0
20200208T1700,23.559214,53.61702,269.66998,184.78299,84.88699,354.55697,0
20200208T1800,21.639214,60,141.51,76.97298,64.53702,206.04702,0
20200208T1900,19.929214,10.484574,1.78,0.44392407,1.3360759,3.1160759,0
20200208T2000,19.379213,0,0,0,0,0,0
20200208T2100,19.069214,0,0,0,0,0,0
20200208T2200,19.109215,0,0,0,0,0,0
20200208T2300,18.829214,0,0,0,0,0,0
20200209T0000,17.689213,0,0,0,0,0,0
